run_id,seed,task,method,optimizer,parameter,parameter_value,delta_solve_wall_s,delta_iterations,delta_evaluations,delta_terminal_gradient_l2,delta_terminal_gradient_inf,delta_relative_gradient_l2,delta_objective_n_m,delta_surrogate_residual_n,delta_command_cosine_to_fixed_GFE,delta_field_cosine_to_fixed_GFE,delta_worst_displacement_a,delta_minimum_stiffness_n_m,delta_common_nominal_loss_std_n_m
000000000000049706a9fe6dbae4,260828,Single,FE,L-BFGS-B,alpha_factor,0.01,-0.00018009998893830925,2,3,-5.407430551064536e-10,3.5640572246189255e-09,-1.2422511032649436e-06,-1.51545990728294e-05,-1.0775897123776647e-06,-1.7159265766064635e-06,-1.0062562816326448e-06,0.02814077576600358,-9.88582588843474e-06,
0000000000000497a444010dc17a,260828,Single,FE,L-BFGS-B,alpha_factor,0.03,9.050000517163426e-05,0,0,-1.5958712780100558e-08,-1.1117225857746486e-09,-3.5004398910796416e-05,-1.5069960722625952e-05,-1.0783443470011276e-06,-1.6453996927179304e-06,-9.649947172452045e-07,0.027595556501359482,-9.06297810339407e-06,
00000000000004967c43462ebaf0,260828,Single,FE,L-BFGS-B,alpha_factor,0.1,0.004666799999540672,1,4,-1.7293411471392655e-08,-7.270893149138704e-11,-3.792434079110989e-05,-1.4774888935316366e-05,-1.0809349703170998e-06,-1.416953806288035e-06,-8.309455824528911e-07,0.025886574830701108,-6.336294666767564e-06,
0000000000000496deaeb94ec186,260828,Single,FE,L-BFGS-B,alpha_factor,0.3,-0.0005304999940562993,0,-1,8.480734526912908e-09,9.654986529868483e-10,1.8548350470504993e-05,-1.3941830093004703e-05,-1.0883431883802352e-06,-8.576491076217607e-07,-5.029247792665004e-07,0.020368140702420025,-1.4764579522210178e-05,
0000000000000496e4f2a9ddbaf2,260828,Single,FE,L-BFGS-B,alpha_factor,1.0,0.005290200002491474,1,0,-2.059278628021869e-08,-3.2760584600929525e-09,-4.5122225783442574e-05,-1.114285351035138e-05,-1.1142812827662842e-06,-1.568689622644115e-11,-5.3684834355749445e-12,3.824873853280897e-06,-1.7994692428843773e-08,
00000000000004978e30d2c7bae9,260828,Single,FE,L-BFGS-B,alpha_factor,10.0,0.014952400015317835,85,95,1.3601295282464552e-08,6.673197700213042e-10,3.0861063321827235e-05,8.669622838290703e-06,-1.4477014701766891e-06,-0.000141520181164978,-8.278477453782518e-05,0.14464902774473287,-0.00018348015950672356,
00000000000004987338e9c6bb10,260828,Single,FE,L-BFGS-B,alpha_factor,100.0,0.03960750001715496,209,427,0.0052459419650232675,0.0006310948739573618,10.346001819106982,0.0030349987581976476,-1.5011683491170654e-06,-0.9579764858120674,-0.9557969834566948,0.13935017516673606,-0.0002883283969961508,
0000000000000496ac0d8f1ac18c,260828,Single,FE,L-BFGS-B,alpha_factor,3.0,-1.1099997209385037e-05,5,3,-1.0809052878831998e-08,2.674430347312925e-09,-2.3552547268588724e-05,-4.146361457950387e-06,-1.1883954804274575e-06,-6.9896704280036914e-06,-4.097385876700166e-06,-0.04131967405860447,-9.27163837353192e-06,
00000000000004978b787af2c185,260828,Single,FE,L-BFGS-B,alpha_factor,30.0,0.03816670000378508,193,366,0.0014812134251403724,0.00016553868099547964,3.3067242344653343,0.0007246796650895379,-1.5011683491167662e-06,-0.9883550121707323,-0.9935771573449032,0.18196373586885667,-0.00018880132238804914,
0000000000000498498d4a5e1788,260828,Single,GFE,L-BFGS-B,alpha_factor,0.01,0.0004648000031011179,1,3,-5.607248740558532e-09,-4.514731560602011e-10,-1.2337440788976717e-05,-1.504317158787516e-05,3.6686200639202534e-08,-1.7147872719558421e-06,-1.005617581761875e-06,0.02813411548595606,-9.876565222988014e-06,
0000000000000498049dc6f91e20,260828,Single,GFE,L-BFGS-B,alpha_factor,0.03,0.0025708000030135736,3,4,-2.6994014565452697e-08,-5.197479783093397e-09,-5.9170888545149626e-05,-1.4735675404012327e-05,3.5944982016231755e-08,-1.646097649854461e-06,-9.653739498904912e-07,0.027598727374144212,-9.068055712553591e-06,
0000000000000497a622b0cc1764,260828,Single,GFE,L-BFGS-B,alpha_factor,0.1,-0.00010849999671336263,0,0,-1.3182875141342015e-08,-4.039632462633668e-10,-2.892379303243801e-05,-1.3660603624718326e-05,3.3346408928444206e-08,-1.4164832218277468e-06,-8.307269160345854e-07,0.025883436133801625,-6.331727818213728e-06,
0000000000000497eb323c6b1dfc,260828,Single,GFE,L-BFGS-B,alpha_factor,0.3,0.00014080000983085483,2,2,-1.900045772165266e-08,2.1002172517458163e-09,-4.165979395252691e-05,-1.0598975414305434e-05,2.594424273872646e-08,-8.580552957049292e-07,-5.030498858582533e-07,0.020370952279271083,-1.476327918246978e-05,
0000000000000497820ea2851766,260828,Single,GFE,L-BFGS-B,alpha_factor,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.661338147750939e-16,0.0,0.0,
00000000000004987f069984178d,260828,Single,GFE,L-BFGS-B,alpha_factor,10.0,2.3000029614195228e-06,4,6,-1.3376517808270042e-08,9.981367975006827e-10,-2.9021641347171584e-05,0.00012009815044540517,-3.3339870771089964e-07,-0.00014148820341786106,-8.276876924206977e-05,0.14463348355557396,-0.00018361049301752683,
000000000000049908fca12917e4,260828,Single,GFE,L-BFGS-B,alpha_factor,100.0,0.038545500006875955,244,442,0.005731650423483719,0.0007076377696266775,13.364308108303348,0.0004235178557781896,-1.50116834911691e-06,-0.004552870672930864,-0.0019311273533421103,0.9611916834324392,-0.00012993751299128498,
000000000000049787460ab01e02,260828,Single,GFE,L-BFGS-B,alpha_factor,3.0,-0.0002781999937724322,3,3,-1.8447912974830564e-08,-2.4597918199235566e-09,-4.0385261538793864e-05,2.928219626632117e-05,-7.411964504752497e-08,-6.992675372741175e-06,-4.098791753337494e-06,-0.04131308559045848,-9.28785820585639e-06,
000000000000049829b0150f1e2b,260828,Single,GFE,L-BFGS-B,alpha_factor,30.0,0.005502800006070174,47,54,-6.4314167545522656e-09,5.639610270446024e-10,-1.2825689446184856e-05,0.0002799898085893149,-1.0676208732817e-06,-0.0014532619921123757,-0.0008456275621777642,0.6658705047395375,-2.402111005426512e-05,
0000000000000493f5cb0e28e851,260869,Triple,FE,BFGS,alpha_factor,0.01,-2.4872638000088045,-1061,-1058,-8.95534789711674e-11,-1.2375045208284642e-10,1.5745214786011868e-08,-0.0034762509691009177,6.421232074451027e-06,-0.1052232380950906,-0.0641020401300858,1.289529416658001,1.6866322184146045e-05,0.004920989192938335
00000000000004936cae2f0aeedf,260869,Triple,FE,BFGS,alpha_factor,0.03,-3.067445200009388,-1091,-1096,-9.798405790138306e-10,-9.307834903870287e-10,-1.513649286238171e-08,-0.003176697569817595,6.090284931017224e-06,-0.1031117733429131,-0.06270872501190872,1.2539706206724497,4.0992026345085296e-05,0.00517615806384701
0000000000000492f0c0746ae89a,260869,Triple,FE,BFGS,alpha_factor,0.1,-0.3209320000023581,-615,-604,-6.291084570620348e-09,-8.172205776843619e-10,-1.970464966576533e-07,-0.0023176904964240866,5.0431336869398555e-06,-0.09801085239413543,-0.0591709102888498,1.142433299887077,1.8293905011986748e-05,0.004878359778795854
000000000000049269a55548ef28,260869,Triple,FE,BFGS,alpha_factor,0.3,8.311431399997673,-410,-386,-3.184628855877929e-09,-9.477764558688418e-10,-9.893319526846227e-08,-0.0009376441540915673,1.3389170204598173e-06,-0.012542814146444425,-0.008365028061702473,0.5471672880168813,8.08336459937162e-06,0.0004109057721129561
000000000000049224278056e89c,260869,Triple,FE,BFGS,alpha_factor,1.0,5.2946879000082845,865,948,1.5109715983799214e-08,1.3518862987064413e-09,4.7587058866219914e-07,-0.0008305511318768971,-1.1957233108780604e-08,-0.00791626434329451,-0.005473019158753534,0.4954361843007933,5.0382388005186865e-05,-2.605226474611353e-07
0000000000000493810cdf23e856,260869,Triple,FE,BFGS,alpha_factor,10.0,30.50978999999643,5705,5883,7.217463499988829e-08,1.4488510169931393e-08,1.3375743577412353e-06,-0.0008300833862158394,-1.3218948316456367e-08,-0.007916720019572665,-0.005473459500002886,0.49546394763830626,5.033992133736745e-05,6.247058202246845e-08
0000000000000494a1c671cfe840,260869,Triple,FE,BFGS,alpha_factor,100.0,115.77127990000008,27223,27874,0.004366962825080731,0.00087050846484553,0.01993086569169878,-0.0005573586427670071,-1.332837973483961e-08,-0.02253866834274809,-0.010103823929633604,0.4983324933041291,3.459669464665684e-05,-1.5158637778190923e-07
0000000000000492cffc4f4def2e,260869,Triple,FE,BFGS,alpha_factor,3.0,20.67928579999716,5014,5157,1.9163751166071274e-08,1.37969270583692e-09,4.866120866409595e-07,-0.000830196852993674,-1.2920129903144075e-08,-0.22424298837603807,-0.14904392207089778,0.49545248905743433,5.037318163266511e-05,-2.543803910312718e-07
00000000000004930b82cd00eeea,260869,Triple,FE,BFGS,alpha_factor,30.0,55.90559609999764,10646,10973,1.1654223108693543e-06,2.235046698906496e-07,1.3974674197230825e-05,-0.0008300631011698492,-1.3303311008616795e-08,-0.2242186716261706,-0.14902433988840091,0.4954782311520851,5.0269182968601996e-05,1.0272597266746428e-06
